what,kind,bundleId,bundleVersion,description,time
error,log,,,"An exception has thrown while performing a search",1408823577661
error,log,,,"An exception has thrown while performing a search",1408823577668
error,log,,,"An exception has thrown while performing a search",1408823577676
error,log,,,"An exception has thrown while performing a search",1408823577684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823577695
error,log,,,"An exception has thrown while performing a search",1408823578748
error,log,,,"An exception has thrown while performing a search",1408823578764
error,log,,,"An exception has thrown while performing a search",1408823578772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408823578920
error,log,,,"An exception has thrown while performing a search",1408823578948
error,log,,,"An exception has thrown while performing a search",1408823578956
error,log,,,"An exception has thrown while performing a search",1408823578964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823579907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823581337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823592369
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408823593904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823599240
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408823601146
error,log,,,"An exception has thrown while performing a search",1408823618515
error,log,,,"An exception has thrown while performing a search",1408823618523
error,log,,,"An exception has thrown while performing a search",1408823618532
error,log,,,"An exception has thrown while performing a search",1408823618539
error,log,,,"An exception has thrown while performing a search",1408823618547
error,log,,,"An exception has thrown while performing a search",1408823618555
error,log,,,"An exception has thrown while performing a search",1408823618563
error,log,,,"An exception has thrown while performing a search",1408823618572
error,log,,,"An exception has thrown while performing a search",1408823618580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408823618584
error,log,,,"An exception has thrown while performing a search",1408823618587
error,log,,,"An exception has thrown while performing a search",1408823618595
error,log,,,"An exception has thrown while performing a search",1408823618603
error,log,,,"An exception has thrown while performing a search",1408823618611
error,log,,,"An exception has thrown while performing a search",1408823618625
error,log,,,"An exception has thrown while performing a search",1408823618628
error,log,,,"An exception has thrown while performing a search",1408823618635
error,log,,,"An exception has thrown while performing a search",1408823618643
error,log,,,"An exception has thrown while performing a search",1408823618651
error,log,,,"An exception has thrown while performing a search",1408823618659
error,log,,,"An exception has thrown while performing a search",1408823618667
error,log,,,"An exception has thrown while performing a search",1408823618675
error,log,,,"An exception has thrown while performing a search",1408823618683
error,log,,,"An exception has thrown while performing a search",1408823618691
error,log,,,"An exception has thrown while performing a search",1408823618699
error,log,,,"An exception has thrown while performing a search",1408823618708
error,log,,,"An exception has thrown while performing a search",1408823618716
error,log,,,"An exception has thrown while performing a search",1408823618723
error,log,,,"An exception has thrown while performing a search",1408823618731
error,log,,,"An exception has thrown while performing a search",1408823618739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823619888
error,log,,,"An exception has thrown while performing a search",1408823629348
error,log,,,"An exception has thrown while performing a search",1408823629355
error,log,,,"An exception has thrown while performing a search",1408823629363
error,log,,,"An exception has thrown while performing a search",1408823629371
error,log,,,"An exception has thrown while performing a search",1408823629387
error,log,,,"An exception has thrown while performing a search",1408823629395
error,log,,,"An exception has thrown while performing a search",1408823629403
error,log,,,"An exception has thrown while performing a search",1408823629411
error,log,,,"An exception has thrown while performing a search",1408823629419
error,log,,,"An exception has thrown while performing a search",1408823629427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408823629673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823631079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823633010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823634792
error,log,,,"An exception has thrown while performing a search",1408823636435
error,log,,,"An exception has thrown while performing a search",1408823636443
error,log,,,"An exception has thrown while performing a search",1408823636451
error,log,,,"An exception has thrown while performing a search",1408823636459
error,log,,,"An exception has thrown while performing a search",1408823636468
error,log,,,"An exception has thrown while performing a search",1408823636475
error,log,,,"An exception has thrown while performing a search",1408823636483
error,log,,,"An exception has thrown while performing a search",1408823636491
error,log,,,"An exception has thrown while performing a search",1408823636499
error,log,,,"An exception has thrown while performing a search",1408823636507
error,log,,,"An exception has thrown while performing a search",1408823636515
error,log,,,"An exception has thrown while performing a search",1408823636523
error,log,,,"An exception has thrown while performing a search",1408823636531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408823636543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823638001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408823639236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823640117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408823641383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823642616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823643940
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408823660772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823666045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823768317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823775118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823776706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823785027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823844106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823849139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823851064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823852266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823853718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineDown",1408823857270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823863110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823864273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823891642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408823901576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408823904128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823932163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408823990123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824008842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824020545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824023770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824141841
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408824144976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824163697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824235916
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408824244271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824258008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824307143
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408824310262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408824336364
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408824345736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824353904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824417342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824421805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824423647
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408824437049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824440479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824441597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824444503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824445853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824446873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824449067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824457275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824464657
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1408824472261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824476102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824485974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408824488006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824488537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824491274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408824495829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408824502432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408824503321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408824504637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824507148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824511038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408824515804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408824518289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408824519307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408824520236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824521584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824582070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824582598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408824681467
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408824686165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1408824726843
