what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408817641362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817641842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817648112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817649212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817659072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408817661902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408817664322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817664622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817684092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817687042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817692602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817711132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817712222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817713662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817722632
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408817723902
error,log,,,"Syntax Fehler in SQL Befehl SELECT NAME, PATTERN, CONTROLLER, BUNDLE, ACTION FROM ROUTES WHERE PATH LIKE '/ %' AND NAME = 'pw['TEST[*]'] = """";' \nSyntax error in SQL statement SELECT NAME, PATTERN, CONTROLLER, BUNDLE, ACTION FROM ROUTES WHERE PATH LIKE '/ %' AND NAME = 'pw['TEST[*]'] = """";' ; SQL statement:\nSELECT NAME, PATTERN, CONTROLLER, BUNDLE, ACTION FROM ROUTES WHERE PATH LIKE '/ %' AND NAME = 'pw['test'] = """";' [42000-117]",1408817725272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817733822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817735812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817736932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817738152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408817740882
error,log,,,"PHPCore plugin internal error",1408817741152
error,log,,,"PHPCore plugin internal error",1408817741152
error,log,,,"PHPCore plugin internal error",1408817741162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817743952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817758383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408817769823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408817771483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408817773203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817777153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817779423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817780323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817788853
error,log,,,"Syntax Fehler in SQL Befehl SELECT NAME, PATTERN, CONTROLLER, BUNDLE, ACTION FROM ROUTES WHERE PATH LIKE '/ %' AND NAME = '$host['l[*]'\nSyntax error in SQL statement SELECT NAME, PATTERN, CONTROLLER, BUNDLE, ACTION FROM ROUTES WHERE PATH LIKE '/ %' AND NAME = '$host['l[*]'; SQL statement:\nSELECT NAME, PATTERN, CONTROLLER, BUNDLE, ACTION FROM ROUTES WHERE PATH LIKE '/ %' AND NAME = '$host['l' [42000-117]",1408817791013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408817794493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817794843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408817799563
error,log,,,"PHPCore plugin internal error",1408817808553
error,log,,,"PHPCore plugin internal error",1408817808553
error,log,,,"PHPCore plugin internal error",1408817808563
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1408817809723
error,log,,,"PHPCore plugin internal error",1408817850663
error,log,,,"PHPCore plugin internal error",1408817850663
error,log,,,"PHPCore plugin internal error",1408817850663
error,log,,,"PHPCore plugin internal error",1408817857013
error,log,,,"PHPCore plugin internal error",1408817857013
error,log,,,"PHPCore plugin internal error",1408817857013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408817858233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408817861843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1408817864163
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1408817875353
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1408817879573
error,log,,,"PHPCore plugin internal error",1408817884233
error,log,,,"PHPCore plugin internal error",1408817884233
error,log,,,"PHPCore plugin internal error",1408817884233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408817886553
error,log,,,"PHPCore plugin internal error",1408817887183
