what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828825672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828842494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828844135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828849903
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408828851340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408828858951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828859531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828886311
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408828891541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408828899931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408828901071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828905981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828909611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828910681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828911561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408828922711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408828923311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829223143
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1408829227283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408829229923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829230253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829241243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408829241273
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408829247143
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408829247193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829248683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829517913
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408829520703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829539723
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408829541063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829610923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829612653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829615593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829618033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829628003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829651383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829662913
error,log,,,"An exception has thrown while performing a search",1408829677453
error,log,,,"An exception has thrown while performing a search",1408829677543
error,log,,,"An exception has thrown while performing a search",1408829677733
error,log,,,"An exception has thrown while performing a search",1408829677913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408829677913
error,log,,,"An exception has thrown while performing a search",1408829677973
error,log,,,"An exception has thrown while performing a search",1408829677993
error,log,,,"An exception has thrown while performing a search",1408829678013
error,log,,,"An exception has thrown while performing a search",1408829678033
error,log,,,"An exception has thrown while performing a search",1408829678053
error,log,,,"An exception has thrown while performing a search",1408829678063
error,log,,,"An exception has thrown while performing a search",1408829678073
error,log,,,"An exception has thrown while performing a search",1408829678073
error,log,,,"An exception has thrown while performing a search",1408829678083
error,log,,,"An exception has thrown while performing a search",1408829678093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408829680443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829686073
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1408829692564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829704074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829704354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829714184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829730244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829730314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829738014
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1408829756774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829770454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829775534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829787754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829821824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408829824524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829824904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829829674
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408829836754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408829844174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408829846054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408829854524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408829856594
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1408829919704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408829926784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829928704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408829977134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408830017154
