what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408820873460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408820874809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821348743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821350589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821360594
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821363759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1408821367670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408821411232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1408821415069
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821416276
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1408821426663
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821429423
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1408821432646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821436471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821441419
executed,command,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui.edit.text.script.rename.element",1408821441425
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821443562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821448100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408821449541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408821453224
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821454595
error,log,,,"PHPCore plugin internal error",1408821457231
error,log,,,"PHPCore plugin internal error",1408821457235
error,log,,,"PHPCore plugin internal error",1408821457237
error,log,,,"PHPCore plugin internal error",1408821459257
error,log,,,"PHPCore plugin internal error",1408821459260
error,log,,,"PHPCore plugin internal error",1408821459263
error,log,,,"PHPCore plugin internal error",1408821460725
error,log,,,"PHPCore plugin internal error",1408821460728
error,log,,,"PHPCore plugin internal error",1408821460731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1408821461868
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821463001
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1408821464682
